item_id,company_name,item_name,protein_option,price,description,added_date,last_modified_date,discontinued_date
1,Cava,Market Spice,,12.25,"A hearty, plant-based bowl that packs a satisfying punch. Spicy falafel and fiery broccoli bring the heat. Cooled down by tomato + cucumber, roasted corn, pickled onions, hummus, tzatziki, romaine, and rice. Topped with bright, herbaceous skhug and garlic dressing.",2023-09-28,2023-09-28,none
2,Cava,Lemon Chicken,,11.15,"This bright, smoky, and sweet fan favorite is back for summer! It features our preserved lemon vinaigrette in collaboration with New York Shuk. Plus, grilled chicken, Crazy Feta®, red pepper hummus, tomato + onion, pickled onions, Persian cucumbers, corn, feta, spinach, and romaine.",2023-09-28,2023-09-28,none
3,Cava,Harissa Avocado,,14.95,"An extra colorful, vibrant, and bold bowl (it's our top seller!) that gives you a double dose of spiciness with harissa honey chicken and our hot harissa vinaigrette. Plus, Crazy Feta®, hummus, fire-roasted corn, avocado, pickled onions, Persian cucumber, feta, basmati rice, and SuperGreens.",2023-09-28,2023-09-28,none
4,Cava,Chicken + RightRice®,,11.80,"A hearty bowl with classic Greek flavors built on a base of protein-packed, lower-carb RightRice® (made from lentil, pea, and chickpea flours). Includes grilled chicken, tzatziki, hummus, feta, Persian cucumber, tomato + onion, pickled onion, and arugula. Finished with Greek vinaigrette.",2023-09-28,2023-09-28,none
5,Cava,Greek Salad,,11.15,"No need to reinvent the wheel; it's all about classic tangy and savory Mediterranean flavors here. That means a base of romaine and arugula, with hummus and everything that makes a Greek salad so great: grilled chicken, tzatziki, feta, Persian cucumber, tomato, Kalamata olives, Greek vinaigrette.",2023-09-28,2023-09-28,none
6,Cava,Tahini Caesar,,11.15,"The classic Chicken Caesar reimagined with a CAVA twist, thanks to our Tahini Caesar dressing. Includes grilled chicken, hummus, pita crisps, pickled onions, feta, romaine, arugula. It's a subtly delicious bowl you didn't realize you've finished until you look down and go ""wait, where'd it all go?"".",2023-09-28,2023-09-28,none
7,Cava,Greens + Grains Bowl,,11.15,Mix and match your favorite greens and grains to build a bowl just the way you like it.,2023-09-28,2023-09-28,none
8,Cava,Salad Bowl,,11.15,"Choose your greens to start building your bowl: arugula, SuperGreens, baby spinach, romaine, or SplendidGreens®.",2023-09-28,2023-09-28,none
9,Cava,Grains Bowl,,11.15,"Choose your grain bowl base to start building your bowl: saffron basmati rice, brown basmati rice, black lentils, or RightRice®.",2023-09-28,2023-09-28,none
10,Cava,Crispy Falafel,,11.15,"Crispy-on-the-outside, creamy-on-the-inside falafel makes this pita a plant-based favorite. Also includes hummus, roasted eggplant, pickles, cabbage slaw, tomato + onion. Served with creamy garlic dressing and spicy skhug—a great combo.",2023-09-28,2023-09-28,none
11,Cava,Spicy Chicken + Avocado,,14.95,"Helloooo sweet-meets-spicy! That's thanks to the harissa honey chicken and the hot harissa vinaigrette. It's a best of both worlds pita, also including Crazy Feta®, hummus, avocado, pickles, fire-roasted corn, crumbled feta, and pickled onions.",2023-09-28,2023-09-28,none
12,Cava,Spicy Lamb Meatball,,13.35,"A real party, in sandwich form. Take our herb-packed spicy lamb meatballs and give them an extra hit of spiciness with our skhug dressing. Then balance it all out with hummus, tomato + cucumber, pickled onions, cabbage slaw, pickles, and garlic dressing.",2023-09-28,2023-09-28,none
13,Cava,Greek Chicken,,11.15,"Take a classic Greek salad, then pita-ify it (okay, and add some pickles, because they're really good). Includes grilled chicken, hummus, tzatziki, tomato + onion, Kalamata olives, crumbled feta, shredded romaine, and Greek Vinaigrette.",2023-09-28,2023-09-28,none
14,Cava,Pita,,11.15,"Fill our warm, fluffy, and perfectly chewy pita with your unique combination of ingredients. It features a mix of sprouted grains and is free of artificial preservatives. Made exclusively for CAVA by Brookyn-based Damascus Bakery.",2023-09-28,2023-09-28,none
15,Cava,Kid's Pita,,6.80,"A mini version of our build-your-own pita, with a side of pita chips or carrots sticks. Plus, juice or milk to drink.",2023-09-28,2023-09-28,none
16,Cava,Strawberry Citrus,,3.05,Think of this as a lighter version of strawberry lemonade. Made in-house from a purée of fresh strawberries and lemon juice.,2023-09-28,2023-09-28,none
17,Cava,Blueberry Lavender,,3.05,"Made from a purée of blueberries and lavender. It’s great for when you want something sweet and floral as a mid-day break. Do we get some hints of blueberry pie filling in there? Well, maybe, but this is definitely a brighter version. Made in-house.",2023-09-28,2023-09-28,none
18,Cava,Cucumber Mint Lime,,3.05,"A cure to any midday slump. Sweet and refreshing, balanced out with fresh lime juice. Would also be great post-workout. Made in-house.",2023-09-28,2023-09-28,none
19,Cava,Classic Lemonade,,3.05,A sweet lemonade that's never cloying thanks to the clear fresh lemon taste. Made in-house.,2023-09-28,2023-09-28,none
20,Cava,Sweet Tea,,3.05,Black tea perfectly sweetened with organic cane sugar.,2023-09-28,2023-09-28,none
21,Cava,Fountain Soda,,3.05,Choose from a selection of Maine Root fountain sodas.,2023-09-28,2023-09-28,none
22,Cava,Spindrift Lemon,,2.65,Sparkling lemon water that tastes like the real thing—because it is! There's real lemon juice in each can.,2023-09-28,2023-09-28,none
23,Cava,Spindrift Half Tea & Half Lemon,,2.65,Real-squeezed lemon juice meets Argentinian black tea in this pitch perfect pairing. Crisp and refreshing.,2023-09-28,2023-09-28,none
24,Cava,Open Water Still,,2.65,"Open Water still water is made in aluminum cans, the most recycled packaging in the world. Bonus: Open Water is also carbon neutral.",2023-09-28,2023-09-28,none
25,Cava,Open Water Sparkling,,2.65,"Open Water sparkling water is made in aluminum cans, the most recycled packaging in the world. Bonus: Open Water is also carbon neutral.",2023-09-28,2023-09-28,none
26,Cava,Kid's Apple Juice,,2.15,Organic apple juice from Honest Kids. No sugar added.,2023-09-28,2023-09-28,none
27,Cava,Kid's Milk,,2.15,Organic 1% milk.,2023-09-28,2023-09-28,none
28,Cava,Kid's Chocolate Milk,,2.15,Organic 1% chocolate milk.,2023-09-28,2023-09-28,none
29,Cava,Pita Chips,,2.35,"Made in-house in small batches, our pita chips are meant for big dipping (really, they go with alllll of our dips and dressings). Crispy on the outside while still soft and chewy on the inside.",2023-09-28,2023-09-28,none
30,Cava,Side Pita,,2.15,"Our warm, fluffy, and perfectly chewy whole pita is made exclusively for CAVA by Brooklyn-based Damascus bakery. It features a mix of sprouted grains and is free of artificial preservatives.",2023-09-28,2023-09-28,none
31,Cava,Side Crazy Feta®,,3.80,"Feta whipped with jalapeño, onions, and olive oil for just that right level of spicy. A true original and CAVA signature. This dip has a lot going for it, so serve it with something simple like raw vegetables or pita chips.",2023-09-28,2023-09-28,none
32,Cava,Side Hummus,,3.20,"Chickpeas puréed with tahini, lemon juice, fresh garlic, and salt. That's it—no oil here! What doesn't this go with? We love it with fresh vegetables, on toast or pita, or um, spooned right out of the container. A guest favorite and CAVA classic.",2023-09-28,2023-09-28,none
33,Cava,Side Harissa,,3.20,"A Greek spin on a traditional North African spicy chili pepper paste. Our version has lots of vibrant tomato flavor and a good kick at the end. Plus, parsley, garlic, and some secret spices. Mix with hummus,or labneh for a super-powered dip, or marinate chicken or roasted veg. A leftovers savior!",2023-09-28,2023-09-28,none
34,Cava,Side Tzatziki,,3.20,"Made with the best (seriously, it's really great) Greek yogurt, shredded cucumber, dill, and salt. A top seller for a reason thanks to its freshness and simplicity. This dip is thick, creamy, and brightens everything. Especially great with lamb and beef. And chips!",2023-09-28,2023-09-28,none
35,Cava,Side Red Pepper Hummus,,3.20,"Something magical happens when fresh roasted red peppers are puréed with chickpeas, tahini, and garlic.",2023-09-28,2023-09-28,none
36,Cava,Side Roasted Eggplant,,3.35,"Roasted eggplant that's emulsified with olive oil and lemon juice. Plus, parsley, onions, garlic. Sleeper hit!",2023-09-28,2023-09-28,none
37,Cava,Salted Chocolate Oat Cookie,,3.00,"If an oatmeal cookie and a salted chocolate chip cookie had a beautiful baby. Made in partnership with Whisked, a woman-owned, DC-based bakery.",2023-09-28,2023-09-28,none
38,Cava,Greyston Blondie,,2.50,"This blondie tastes like it just came out of the oven, thanks to the super soft, almost-gooey inside. Handcrafted by Greyston Bakery—a social justice enterprise and B Corp that prioritizes inclusive hiring—for CAVA.",2023-09-28,2023-09-28,none
39,Cava,Greyston Brownie,,2.50,"An intensely chocolatey brownie, with a super fudgy, almost-gooey inside. Handcrafted by Greyston Bakery—a social justice enterprise and B Corp that prioritizes inclusive hiring—for CAVA.",2023-09-28,2023-09-28,none
